id,from,at,to,open,close,min,max,volume,SMA,RSI,Sinal
2519942,1722015600,1722015660001467882,1722015660,1.08586,1.08587,1.08586,1.08595,245,,,Neutro
2519943,1722015660,1722015720000000000,1722015720,1.08587,1.085855,1.085845,1.08592,191,,,Neutro
2519944,1722015720,1722015780000000000,1722015780,1.085855,1.085865,1.0858,1.085875,213,,,Neutro
2519945,1722015780,1722015840000000000,1722015840,1.08587,1.085875,1.085805,1.085895,191,,,Neutro
2519946,1722015840,1722015900000000000,1722015900,1.085875,1.085935,1.085875,1.08595,171,,,Neutro
2519947,1722015900,1722015960000000000,1722015960,1.085945,1.08599,1.08592,1.08603,156,,,Neutro
2519948,1722015960,1722016020000000000,1722016020,1.08599,1.08608,1.08599,1.086105,131,,,Neutro
2519949,1722016020,1722016080000000000,1722016080,1.08608,1.086085,1.086065,1.086145,115,,,Neutro
2519950,1722016080,1722016140000000000,1722016140,1.086085,1.08606,1.086055,1.08613,157,,,Neutro
2519951,1722016140,1722016200000000000,1722016200,1.08605,1.08601,1.08601,1.08608,158,1.0859625,,Neutro
2519952,1722016200,1722016260000000000,1722016260,1.08601,1.08608,1.086,1.08609,159,1.0859835,,Neutro
2519953,1722016260,1722016320000000000,1722016320,1.08608,1.086,1.085995,1.086135,186,1.085998,,Neutro
2519954,1722016320,1722016380000000000,1722016380,1.08601,1.08599,1.08599,1.086045,148,1.0860105,,Neutro
2519955,1722016380,1722016440000000000,1722016440,1.085995,1.086035,1.085995,1.0861,181,1.0860265,,Neutro
2519956,1722016440,1722016500000000000,1722016500,1.08604,1.086055,1.08601,1.086095,172,1.0860385000000001,66.97247706423587,Neutro
2519957,1722016500,1722016560000000000,1722016560,1.086055,1.086015,1.08601,1.086055,121,1.086041,64.03508771929381,Neutro
2519958,1722016560,1722016620000000000,1722016620,1.086005,1.086085,1.086,1.08609,152,1.0860414999999999,67.46031746031103,Neutro
2519959,1722016620,1722016680000000000,1722016680,1.086085,1.08607,1.08605,1.08611,147,1.0860400000000001,65.354330708676,Neutro
2519960,1722016680,1722016740000000000,1722016740,1.086075,1.086055,1.086055,1.086105,147,1.0860395,60.16949152541735,Neutro
2519961,1722016740,1722016800000000000,1722016800,1.08606,1.08607,1.08604,1.0861,128,1.0860455,57.27272727273388,Neutro
2519962,1722016800,1722016860000000000,1722016860,1.08607,1.086085,1.08606,1.08611,172,1.086046,50.52631578947713,Neutro
2519963,1722016860,1722016920000000000,1722016920,1.086095,1.08614,1.08607,1.08615,184,1.08606,55.23809523810733,Neutro
2519964,1722016920,1722016980000000000,1722016980,1.086135,1.08614,1.086095,1.08615,130,1.0860750000000001,58.000000000005336,Neutro
2519965,1722016980,1722017040000000000,1722017040,1.08615,1.086115,1.086095,1.086155,143,1.086083,61.052631578944414,Neutro
2519966,1722017040,1722017100003864241,1722017100,1.086115,1.086075,1.08607,1.08615,107,1.086085,49.43820224718765,Neutro
2519967,1722017100,1722017160000000000,1722017160,1.086075,1.08606,1.086025,1.08609,160,1.0860895,57.89473684209297,Neutro
2519968,1722017160,1722017220000000000,1722017220,1.08607,1.086085,1.086065,1.086125,133,1.0860895,62.025316455686244,Neutro
2519969,1722017220,1722017280000000000,1722017280,1.08608,1.086155,1.08608,1.08616,114,1.086098,64.28571428569919,Neutro
2519970,1722017280,1722017340000000000,1722017340,1.086155,1.08614,1.08612,1.08618,153,1.0861065,60.24096385543394,Neutro
2519971,1722017340,1722017400000000000,1722017400,1.08614,1.08612,1.086115,1.086155,106,1.0861115000000001,63.291139240504194,Neutro
2519972,1722017400,1722017460000000000,1722017460,1.08612,1.08619,1.08611,1.086205,125,1.086122,63.291139240504194,Neutro
2519973,1722017460,1722017520000000000,1722017520,1.086185,1.086285,1.086155,1.0863,166,1.0861364999999998,72.63157894734235,Venda
2519974,1722017520,1722017580000000000,1722017580,1.08628,1.086285,1.08626,1.08631,145,1.0861509999999999,74.99999999998793,Venda
2519975,1722017580,1722017640000000000,1722017640,1.086295,1.08623,1.086205,1.08631,114,1.0861625,65.99999999999557,Neutro
2519976,1722017640,1722017700000000000,1722017700,1.08623,1.08616,1.08616,1.08624,176,1.086171,56.75675675676,Neutro
2519977,1722017700,1722017760000000000,1722017760,1.08616,1.086305,1.08616,1.086315,166,1.0861954999999999,62.79069767441621,Neutro
2519978,1722017760,1722017820002890078,1722017820,1.08631,1.08634,1.08628,1.086365,144,1.086221,64.70588235293926,Neutro
2519979,1722017820,1722017880002459280,1722017880,1.08634,1.086275,1.086255,1.08635,90,1.086233,61.11111111112482,Neutro
2519980,1722017880,1722017940000000000,1722017940,1.086275,1.08621,1.08618,1.086275,111,1.08624,59.06040268456356,Neutro
2519981,1722017940,1722018000000000000,1722018000,1.086205,1.086125,1.08612,1.086235,122,1.0862405,53.987730061348515,Neutro
2519982,1722018000,1722018060000000000,1722018060,1.086125,1.08607,1.08606,1.086165,140,1.0862285,49.11242603551027,Neutro
2519983,1722018060,1722018120000463987,1722018120,1.08606,1.085995,1.08598,1.086085,153,1.0861995,40.588235294121496,Neutro
2519984,1722018120,1722018180006729993,1722018180,1.086,1.085985,1.08598,1.08602,130,1.0861695,40.82840236685862,Neutro
2519985,1722018180,1722018240000000000,1722018240,1.08598,1.085985,1.08596,1.086,146,1.086145,41.818181818182794,Neutro
2519986,1722018240,1722018300000000000,1722018300,1.085995,1.08597,1.08596,1.08602,145,1.0861260000000001,35.71428571429189,Neutro
2519987,1722018300,1722018360000000000,1722018360,1.08596,1.08597,1.085945,1.085995,186,1.0860925000000001,26.666666666677628,Compra
2519988,1722018360,1722018420000000000,1722018420,1.085965,1.08591,1.08589,1.085995,126,1.0860495000000001,24.48979591837167,Compra
2519989,1722018420,1722018480001755950,1722018480,1.085905,1.08599,1.085885,1.086,164,1.0860210000000001,34.21052631579485,Neutro
2519990,1722018480,1722018540007553679,1722018540,1.086,1.085965,1.08595,1.086,176,1.0859964999999998,36.36363636364483,Neutro
2519991,1722018540,1722018600000000000,1722018600,1.085965,1.085945,1.08593,1.085985,134,1.0859785,19.49152542373328,Compra
2519992,1722018600,1722018660000000000,1722018660,1.08595,1.085915,1.085915,1.08596,122,1.085963,13.675213675220817,Compra
2519993,1722018660,1722018720003027717,1722018720,1.085915,1.08594,1.085905,1.085945,126,1.0859575,19.266055045867077,Compra
2519994,1722018720,1722018780000000000,1722018780,1.085935,1.085945,1.085915,1.085985,132,1.0859535,22.68041237114204,Compra
2519995,1722018780,1722018840000000000,1722018840,1.085945,1.08593,1.085915,1.08597,135,1.0859480000000001,26.50602409639521,Compra
2519996,1722018840,1722018900000000000,1722018900,1.08593,1.085875,1.08586,1.08593,124,1.0859385000000001,26.506024096381026,Compra
2519997,1722018900,1722018960000000000,1722018960,1.085885,1.085965,1.085875,1.08599,146,1.085938,46.51162790698275,Neutro
2519998,1722018960,1722019020000000000,1722019020,1.08597,1.08602,1.085955,1.086035,135,1.0859489999999998,53.6842105263148,Neutro
2519999,1722019020,1722019080000000000,1722019080,1.08602,1.08604,1.08601,1.086045,115,1.085954,55.55555555554559,Neutro
2520000,1722019080,1722019140000000000,1722019140,1.086045,1.08599,1.085935,1.086045,116,1.0859565,51.8867924528211,Neutro
2520001,1722019140,1722019200000000000,1722019200,1.08598,1.08604,1.085955,1.08604,109,1.085966,56.03448275860254,Neutro
2520002,1722019200,1722019260000000000,1722019260,1.08604,1.08598,1.085965,1.08604,123,1.0859725,56.03448275862399,Neutro
2520003,1722019260,1722019320000149972,1722019320,1.08598,1.08586,1.085825,1.08598,166,1.0859645,39.516129032254604,Neutro
2520004,1722019320,1722019380000000000,1722019380,1.08585,1.085795,1.085785,1.08588,216,1.0859495000000001,37.12121212120524,Neutro
2520005,1722019380,1722019440000000000,1722019440,1.0858,1.085885,1.0858,1.08591,190,1.0859450000000002,45.890410958904525,Neutro
2520006,1722019440,1722019500000000000,1722019500,1.085885,1.085895,1.085855,1.08592,160,1.085947,48.591549295780155,Neutro
2520007,1722019500,1722019560000000000,1722019560,1.085895,1.085795,1.085795,1.085895,167,1.0859299999999998,40.76433121019648,Neutro
2520008,1722019560,1722019620000000000,1722019620,1.085805,1.0857,1.085685,1.085855,168,1.085898,36.000000000002025,Neutro
2520009,1722019620,1722019680001561597,1722019680,1.08571,1.08574,1.085675,1.08575,186,1.085868,39.444444444430594,Neutro
2520010,1722019680,1722019740000000000,1722019740,1.08574,1.085735,1.085715,1.08578,199,1.0858425,41.76470588234495,Neutro
2520011,1722019740,1722019800000000000,1722019800,1.085735,1.08577,1.08571,1.085795,207,1.0858155,37.73584905658111,Neutro
2520012,1722019800,1722019860000000000,1722019860,1.085775,1.08573,1.085705,1.085795,163,1.0857905,31.41025641024163,Neutro
2520013,1722019860,1722019920000000000,1722019920,1.08573,1.08572,1.085705,1.08575,123,1.0857765000000001,29.22077922076761,Compra
2520014,1722019920,1722019980000000000,1722019980,1.08573,1.08568,1.08567,1.085745,139,1.0857649999999999,29.605263157877246,Compra
2520015,1722019980,1722020040000000000,1722020040,1.08567,1.085645,1.085605,1.08569,187,1.085741,23.489932885895243,Compra
2520016,1722020040,1722020100000000000,1722020100,1.085645,1.08564,1.08563,1.0857,159,1.0857154999999998,25.362318840566175,Compra
2520017,1722020100,1722020160000000000,1722020160,1.08564,1.08566,1.085615,1.08569,176,1.085702,33.05084745762521,Neutro
2520018,1722020160,1722020220000000000,1722020220,1.08566,1.08565,1.08564,1.0857,159,1.085697,36.448598130834135,Neutro
2520019,1722020220,1722020280000000000,1722020280,1.08565,1.085695,1.08565,1.085695,172,1.0856925,30.612244897972133,Neutro
2520020,1722020280,1722020340000000000,1722020340,1.0857,1.0857,1.08562,1.08571,195,1.085689,29.896907216503337,Neutro
2520021,1722020340,1722020400008087548,1722020400,1.085695,1.085675,1.085655,1.085715,292,1.0856795,35.36585365853064,Neutro
2520022,1722020400,1722020460001299463,1722020460,1.08567,1.08562,1.085605,1.085695,175,1.0856685000000001,39.189189189184326,Neutro
2520023,1722020460,1722020520000000000,1722020520,1.085605,1.08565,1.08555,1.08565,174,1.0856615,37.50000000002313,Neutro
2520024,1722020520,1722020580000000000,1722020580,1.08565,1.08565,1.085555,1.085655,172,1.0856584999999999,38.02816901411093,Neutro
2520025,1722020580,1722020640000000000,1722020640,1.085655,1.08567,1.085625,1.085695,153,1.085661,35.29411764707035,Neutro
2520026,1722020640,1722020700000000000,1722020700,1.085665,1.085655,1.085635,1.085685,193,1.0856625000000002,38.09523809524145,Neutro
2520027,1722020700,1722020760000000000,1722020760,1.085655,1.085665,1.08562,1.085675,141,1.0856629999999998,41.269841269862525,Neutro
2520028,1722020760,1722020820002736406,1722020820,1.08566,1.08567,1.08562,1.0857,135,1.085665,48.21428571427438,Neutro
2520029,1722020820,1722020880000000000,1722020880,1.085665,1.08573,1.08565,1.08574,147,1.0856685,63.93442622951655,Neutro
2520030,1722020880,1722020940000000000,1722020940,1.08573,1.08579,1.08573,1.08581,183,1.0856775,70.83333333333847,Venda
2520031,1722020940,1722021000000000000,1722021000,1.0858,1.08579,1.08577,1.085805,117,1.085689,69.11764705881777,Neutro
2520032,1722021000,1722021060000000000,1722021060,1.08579,1.08583,1.08576,1.08585,176,1.08571,74.32432432433487,Venda
2520033,1722021060,1722021120000000000,1722021120,1.085835,1.08584,1.085825,1.0859,138,1.0857290000000002,71.64179104476821,Venda
2520034,1722021120,1722021180000000000,1722021180,1.08583,1.085835,1.085825,1.085895,151,1.0857475,70.14925373137098,Venda
2520035,1722021180,1722021240000000000,1722021240,1.085835,1.08587,1.085825,1.08589,110,1.0857675,78.26086956527895,Venda
2520036,1722021240,1722021300000000000,1722021300,1.085875,1.085845,1.08582,1.085875,142,1.0857865,85.71428571436627,Venda
2520037,1722021300,1722021360000000000,1722021360,1.08584,1.085845,1.085765,1.08586,178,1.0858045,84.21052631587558,Venda
2520038,1722021360,1722021420000000000,1722021420,1.08584,1.08584,1.08581,1.085855,130,1.0858215000000002,82.75862068972646,Venda
2520039,1722021420,1722021480000000000,1722021480,1.08584,1.085825,1.085785,1.085865,188,1.0858310000000002,77.19298245623877,Neutro
2520040,1722021480,1722021540004599959,1722021540,1.085825,1.0859,1.085775,1.0859,190,1.085842,85.50724637688342,Venda
2520041,1722021540,1722021600000000000,1722021600,1.08589,1.08593,1.08584,1.085935,142,1.0858560000000002,86.30136986307953,Venda
2520042,1722021600,1722021660004682426,1722021660,1.085925,1.08588,1.08586,1.08593,137,1.085861,75.60975609759268,Venda
2520043,1722021660,1722021720000000000,1722021720,1.08589,1.08586,1.085835,1.085895,175,1.085863,67.56756756759515,Neutro
2520044,1722021720,1722021780000000000,1722021780,1.08587,1.085865,1.08584,1.085885,173,1.085866,61.90476190479212,Neutro
2520045,1722021780,1722021840000000000,1722021840,1.08586,1.08585,1.085825,1.085885,189,1.0858640000000002,59.090909090915204,Neutro
2520046,1722021840,1722021900000000000,1722021900,1.08586,1.08586,1.085825,1.08588,140,1.0858655,55.00000000000371,Neutro
2520047,1722021900,1722021960002807564,1722021960,1.085865,1.0859,1.08581,1.0859,129,1.085871,59.09090909094273,Neutro
2520048,1722021960,1722022020000000000,1722022020,1.085905,1.085875,1.08586,1.085915,158,1.0858745,55.71428571425853,Neutro
2520049,1722022020,1722022080000000000,1722022080,1.08587,1.0859,1.08586,1.0859,134,1.085882,54.411764705905405,Neutro
2520050,1722022080,1722022140001864934,1722022140,1.08589,1.08587,1.08586,1.08593,111,1.085879,53.62318840578125,Neutro
2520051,1722022140,1722022200000000000,1722022200,1.08586,1.085865,1.08586,1.08591,111,1.0858725,52.85714285715736,Neutro
2520052,1722022200,1722022260000000000,1722022260,1.085875,1.085785,1.08573,1.085895,192,1.085863,43.52941176472432,Neutro
2520053,1722022260,1722022320000000000,1722022320,1.085785,1.0857,1.08568,1.085785,161,1.085847,37.37373737375913,Neutro
2520054,1722022320,1722022380000000000,1722022380,1.08571,1.085725,1.08562,1.085735,123,1.085833,30.3370786517022,Neutro
2520055,1722022380,1722022440000000000,1722022440,1.08572,1.085715,1.08566,1.085725,151,1.0858195000000002,24.70588235296576,Compra
2520056,1722022440,1722022500000000000,1722022500,1.08571,1.0857,1.08565,1.085725,164,1.0858035000000001,26.92307692311634,Compra
2520057,1722022500,1722022560000000000,1722022560,1.085695,1.085795,1.085655,1.085795,184,1.085793,43.01075268817975,Neutro
2520058,1722022560,1722022620000000000,1722022620,1.08579,1.085755,1.085715,1.08579,146,1.085781,39.000000000003105,Neutro
2520059,1722022620,1722022680004084812,1722022680,1.085765,1.08576,1.08571,1.08578,169,1.0857670000000001,40.81632653062612,Neutro
2520060,1722022680,1722022740000000000,1722022740,1.08576,1.085765,1.085715,1.085795,154,1.0857565,40.2061855670207,Neutro
2520061,1722022740,1722022800002146250,1722022800,1.085755,1.08572,1.08572,1.08581,140,1.0857420000000002,31.632653061229576,Neutro
2520062,1722022800,1722022860000000000,1722022860,1.085715,1.085765,1.0857,1.08577,178,1.0857400000000001,39.215686274531144,Neutro
2520063,1722022860,1722022920000000000,1722022920,1.085755,1.085725,1.08571,1.08577,172,1.0857424999999998,33.33333333333333,Neutro
2520064,1722022920,1722022980000000000,1722022980,1.085725,1.085675,1.08565,1.08575,259,1.0857375,32.11009174312487,Neutro
2520065,1722022980,1722023040000000000,1722023040,1.08568,1.08565,1.085625,1.085695,165,1.0857310000000002,30.97345132743189,Neutro
2520066,1722023040,1722023100000000000,1722023100,1.08568,1.085705,1.08563,1.085705,152,1.0857315,42.59259259258498,Neutro
2520067,1722023100,1722023160000000000,1722023160,1.085695,1.0857,1.085625,1.085705,134,1.085722,50.0,Neutro
2520068,1722023160,1722023220000000000,1722023220,1.0857,1.08565,1.085625,1.0857,117,1.0857115,42.26804123710963,Neutro
2520069,1722023220,1722023280000000000,1722023280,1.08565,1.085695,1.085635,1.085705,121,1.0857050000000001,48.076923076932104,Neutro
2520070,1722023280,1722023340000000000,1722023340,1.08569,1.0857,1.08565,1.08571,154,1.0856985,50.0,Neutro
2520071,1722023340,1722023400001169659,1722023400,1.0857,1.085715,1.08569,1.085765,95,1.085698,40.697674418598645,Neutro
2520072,1722023400,1722023460000000000,1722023460,1.085725,1.08581,1.085725,1.085845,149,1.0857025,55.67010309277407,Neutro
2520073,1722023460,1722023520000000000,1722023520,1.08581,1.085755,1.085735,1.08582,108,1.0857055,49.53271028037073,Neutro
2520074,1722023520,1722023580000000000,1722023580,1.08575,1.085715,1.085715,1.08582,129,1.0857095,45.61403508770972,Neutro
2520075,1722023580,1722023640000000000,1722023640,1.08572,1.08571,1.085705,1.085765,140,1.0857154999999998,49.05660377357859,Neutro
2520076,1722023640,1722023700000000000,1722023700,1.085715,1.08575,1.085695,1.085755,130,1.08572,48.571428571418906,Neutro
2520077,1722023700,1722023760000000000,1722023760,1.08575,1.08579,1.085725,1.08581,141,1.085729,56.19047619047579,Neutro
2520078,1722023760,1722023820000000000,1722023820,1.08579,1.08587,1.08579,1.08587,241,1.085751,67.56756756757406,Neutro
2520079,1722023820,1722023880001859600,1722023880,1.08586,1.08581,1.085785,1.08586,172,1.0857625,63.559322033901175,Neutro
2520080,1722023880,1722023940000000000,1722023940,1.08582,1.08583,1.08576,1.08584,176,1.0857755,61.261261261277845,Neutro
2520081,1722023940,1722024000003599175,1722024000,1.08583,1.085775,1.085765,1.08584,136,1.0857815,56.19834710742163,Neutro
2520082,1722024000,1722024060000000000,1722024060,1.085755,1.08572,1.085685,1.08576,213,1.0857725,55.73770491803398,Neutro
2520083,1722024060,1722024120003810278,1722024120,1.085725,1.085625,1.08562,1.08573,146,1.0857595,44.696969696967656,Neutro
2520084,1722024120,1722024180000000000,1722024180,1.085635,1.085625,1.085615,1.08567,97,1.0857505,44.27480916030042,Neutro
2520085,1722024180,1722024240000000000,1722024240,1.085615,1.085675,1.085615,1.085685,77,1.085747,47.101449275358824,Neutro
2520086,1722024240,1722024300000000000,1722024300,1.08568,1.085675,1.08567,1.085695,79,1.0857395,38.655462184872384,Neutro
2520087,1722024300,1722024360000000000,1722024360,1.085685,1.08568,1.08567,1.085695,97,1.0857285,43.119266055041756,Neutro
2520088,1722024360,1722024420000000000,1722024420,1.085675,1.08568,1.085655,1.085695,118,1.0857095,46.53465346534567,Neutro
2520089,1722024420,1722024480000000000,1722024480,1.085675,1.08567,1.085665,1.085705,90,1.0856955,46.078431372545175,Neutro
2520090,1722024480,1722024540000000000,1722024540,1.08568,1.08568,1.08567,1.085705,94,1.0856805,42.70833333333237,Neutro
2520091,1722024540,1722024600000000000,1722024600,1.08567,1.085715,1.08566,1.085745,112,1.0856745,42.105263157889816,Neutro
2520092,1722024600,1722024660000000000,1722024660,1.085705,1.085725,1.085705,1.085735,134,1.085675,32.09876543212786,Neutro
2520093,1722024660,1722024720000000000,1722024720,1.08572,1.085685,1.08567,1.085725,107,1.085681,33.76623376625548,Neutro
2520094,1722024720,1722024780000000000,1722024780,1.08569,1.08566,1.08565,1.08573,110,1.0856845,28.205128205134045,Compra
2520095,1722024780,1722024840000000000,1722024840,1.085665,1.085675,1.08565,1.0857,103,1.0856845,35.71428571428119,Neutro
2520096,1722024840,1722024900000000000,1722024900,1.085675,1.085655,1.085635,1.085695,109,1.0856824999999999,39.682539682537445,Neutro
2520097,1722024900,1722024960000000000,1722024960,1.08565,1.085625,1.085625,1.085665,97,1.085677,50.0,Neutro
2520098,1722024960,1722025020000000000,1722025020,1.085625,1.08567,1.085625,1.085685,86,1.0856759999999999,57.62711864404994,Neutro
2520099,1722025020,1722025080000000000,1722025080,1.08567,1.085675,1.085645,1.085695,117,1.0856765000000002,50.0,Neutro
2520100,1722025080,1722025140000000000,1722025140,1.085675,1.085655,1.08565,1.085685,108,1.0856739999999998,46.296296296310004,Neutro
2520101,1722025140,1722025200000000000,1722025200,1.085655,1.085655,1.08565,1.085685,104,1.085668,45.283018867930856,Neutro
2520102,1722025200,1722025260000000000,1722025260,1.085655,1.085655,1.08561,1.085655,112,1.085661,45.283018867930856,Neutro
2520103,1722025260,1722025320000000000,1722025320,1.085655,1.08563,1.08561,1.085655,130,1.0856555,42.85714285716551,Neutro
2520104,1722025320,1722025380000000000,1722025380,1.08563,1.085645,1.085615,1.08565,108,1.0856540000000001,43.85964912279335,Neutro
2520105,1722025380,1722025440000000000,1722025440,1.08564,1.085585,1.085585,1.08565,129,1.085645,29.032258064479166,Compra
2520106,1722025440,1722025500000000000,1722025500,1.08558,1.085655,1.08558,1.085665,96,1.085645,40.54054054052108,Neutro
2520107,1722025500,1722025560000000000,1722025560,1.085665,1.08566,1.08561,1.085665,93,1.0856485,46.268656716418896,Neutro
2520108,1722025560,1722025620000000000,1722025620,1.085665,1.085685,1.085645,1.0857,107,1.08565,53.7313432835811,Neutro
2520109,1722025620,1722025680000000000,1722025680,1.085675,1.085695,1.085675,1.085715,87,1.085652,53.0303030303275,Neutro
2520110,1722025680,1722025740000000000,1722025740,1.085695,1.08575,1.08568,1.085765,91,1.0856615,63.01369863014866,Neutro
2520111,1722025740,1722025800000000000,1722025800,1.08575,1.08569,1.08568,1.085755,121,1.085665,58.227848101274354,Neutro
2520112,1722025800,1722025860000000000,1722025860,1.08569,1.08569,1.08568,1.08571,99,1.0856685000000001,52.85714285716461,Neutro
2520113,1722025860,1722025920000000000,1722025920,1.08569,1.0857,1.08567,1.085725,100,1.0856755000000002,53.52112676058981,Neutro
2520114,1722025920,1722025980000000000,1722025980,1.08569,1.085695,1.085685,1.085725,99,1.0856805,55.88235294118607,Neutro
2520115,1722025980,1722026040000000000,1722026040,1.085705,1.08572,1.08568,1.085745,102,1.085694,58.90410958904526,Neutro
2520116,1722026040,1722026100000000000,1722026100,1.08572,1.085745,1.085715,1.08576,98,1.085703,61.53846153846154,Neutro
2520117,1722026100,1722026160000000000,1722026160,1.085715,1.08572,1.085715,1.085765,102,1.085709,61.53846153846154,Neutro
2520118,1722026160,1722026220000000000,1722026220,1.08572,1.08578,1.085715,1.085805,85,1.0857185,65.51724137931915,Neutro
2520119,1722026220,1722026280000000000,1722026280,1.08578,1.085745,1.085745,1.085805,104,1.0857235,69.5121951219532,Neutro
2520120,1722026280,1722026340000000000,1722026340,1.085745,1.085735,1.08573,1.085765,113,1.085722,61.42857142855602,Neutro
2520121,1722026340,1722026400000000000,1722026400,1.085745,1.085745,1.085725,1.085765,96,1.0857275,61.971830985904035,Neutro
2520122,1722026400,1722026460000000000,1722026460,1.085755,1.08575,1.085725,1.08576,83,1.0857335000000001,59.70149253731145,Neutro
2520123,1722026460,1722026520000000000,1722026520,1.08575,1.08574,1.085715,1.08575,96,1.0857375,56.716417910425996,Neutro
2520124,1722026520,1722026580000000000,1722026580,1.08573,1.085695,1.085695,1.085755,74,1.0857375,41.53846153847205,Neutro
2520125,1722026580,1722026640000000000,1722026640,1.085645,1.085645,1.08562,1.085665,86,1.08573,42.857142857132786,Neutro
2520126,1722026640,1722026700000000000,1722026700,1.085645,1.08565,1.08562,1.085665,112,1.0857205,43.74999999999566,Neutro
2520127,1722026700,1722026760000000000,1722026760,1.08565,1.085635,1.085625,1.08567,84,1.085712,39.99999999997267,Neutro
2520128,1722026760,1722026820000000000,1722026820,1.085625,1.085655,1.085625,1.085665,103,1.0856995,44.11764705882161,Neutro
2520129,1722026820,1722026880000000000,1722026880,1.085655,1.085655,1.08563,1.085665,95,1.0856905,39.682539682552,Neutro
2520130,1722026880,1722026940000000000,1722026940,1.085655,1.085665,1.08564,1.085665,90,1.0856835,36.66666666670861,Neutro
2520131,1722026940,1722027000000000000,1722027000,1.085675,1.085645,1.085615,1.085675,102,1.0856735,37.288135593238195,Neutro
2520132,1722027000,1722027060000000000,1722027060,1.085655,1.08563,1.085625,1.08566,119,1.0856615,20.000000000088818,Compra
2520133,1722027060,1722027120000000000,1722027120,1.08562,1.08562,1.085615,1.08568,105,1.0856495000000002,22.222222222309938,Compra
2520134,1722027120,1722027180000000000,1722027180,1.08562,1.085635,1.0856,1.085645,101,1.0856435000000002,28.260869565257266,Compra
2520135,1722027180,1722027240000000000,1722027240,1.085635,1.08554,1.08553,1.085635,83,1.085633,17.460317460345422,Compra
2520136,1722027240,1722027300000000000,1722027300,1.085545,1.085535,1.08552,1.085565,115,1.0856215,15.873015873034902,Compra
2520137,1722027300,1722027360000000000,1722027360,1.085535,1.08554,1.085525,1.085565,102,1.085612,17.741935483901017,Compra
2520138,1722027360,1722027420000000000,1722027420,1.085535,1.085515,1.08548,1.085555,148,1.085598,18.965517241404385,Compra
2520139,1722027420,1722027480000000000,1722027480,1.085525,1.085535,1.0855,1.08555,108,1.085586,28.846153846155488,Compra
2520140,1722027480,1722027540000000000,1722027540,1.08554,1.085525,1.085515,1.08559,84,1.085572,26.415094339632134,Compra
2520141,1722027540,1722187858000000000,1722027600,1.08552,1.08552,1.08552,1.08554,72,1.0855595,27.450980392173932,Compra
